Customer ID	Full Name	Date of Purchase	Age	State	MTN Device	Gender	Satisfaction Rate	Customer Review	Customer Tenure in months	Subscription Plan	 Unit Price 	Number of Times Purchased	 Total Revenue 	Data Usage	Customer Churn Status	Reasons for Churn
CUST0001	Ngozi Berry	01 January 2025	27	Kwara	4G Router	Male	2	Fair	2	165GB Monthly Plan	" ?35,000.00 "	19	" ?665,000.00 "	44.48	Yes	Relocation
CUST0002	Zainab Baker	01 March 2025	16	Abuja (FCT)	Mobile SIM Card	Female	2	Fair	22	12.5GB Monthly Plan	" ?5,500.00 "	12	" ?66,000.00 "	19.79	Yes	Better Offers from Competitors
CUST0003	Saidu Evans	01 March 2025	21	Sokoto	5G Broadband Router	Male	1	Poor	60	150GB FUP Monthly Unlimited	" ?20,000.00 "	8	" ?160,000.00 "	9.64	No	No Churn
CUST0003	Saidu Evans	01 March 2025	21	Sokoto	Mobile SIM Card	Male	1	Poor	60	1GB+1.5mins Daily Plan	 ?500.00 	8	" ?4,000.00 "	197.05	No	No Churn
CUST0003	Saidu Evans	01 March 2025	21	Sokoto	Broadband MiFi	Male	1	Poor	60	30GB Monthly Broadband Plan	" ?9,000.00 "	15	" ?135,000.00 "	76.34	No	No Churn
CUST0004	Ejiro Walker	01 March 2025	36	Gombe	4G Router	Female	1	Poor	14	10GB+10mins Monthly Plan	" ?4,500.00 "	9	" ?40,500.00 "	92.72	No	No Churn
CUST0005	Nura Mann	01 January 2025	57	Oyo	4G Router	Male	3	Good	53	25GB Monthly Plan	" ?9,000.00 "	16	" ?144,000.00 "	42.92	No	No Churn
CUST0006	Tamuno Lewis	01 February 2025	74	Plateau	Mobile SIM Card	Female	5	Excellent	9	7GB Monthly Plan	" ?3,500.00 "	5	" ?17,500.00 "	44.25	No	No Churn
CUST0006	Tamuno Lewis	01 February 2025	74	Plateau	5G Broadband Router	Female	5	Excellent	9	1.5TB Yearly Broadband Plan	" ?150,000.00 "	2	" ?300,000.00 "	18.64	No	No Churn
CUST0006	Tamuno Lewis	01 February 2025	74	Plateau	4G Router	Female	5	Excellent	9	65GB Monthly Plan	" ?16,000.00 "	6	" ?96,000.00 "	30.99	No	No Churn
CUST0007	Boma Stewart	01 March 2025	24	Jigawa	Broadband MiFi	Female	5	Excellent	39	120GB Monthly Broadband Plan	" ?24,000.00 "	11	" ?264,000.00 "	150.30	Yes	Relocation
CUST0008	Ifeanyi Park	01 January 2025	53	Kwara	Broadband MiFi	Male	3	Good	30	300GB FUP Monthly Unlimited	" ?30,000.00 "	17	" ?510,000.00 "	168.41	No	No Churn
CUST0009	Bala Robbins	01 January 2025	35	Gombe	Broadband MiFi	Male	5	Excellent	35	300GB FUP Monthly Unlimited	" ?30,000.00 "	10	" ?300,000.00 "	175.81	No	No Churn
CUST0010	Halima Ochoa	01 March 2025	23	Imo	4G Router	Male	1	Poor	6	10GB+10mins Monthly Plan	" ?4,500.00 "	20	" ?90,000.00 "	53.38	No	No Churn
CUST0010	Halima Ochoa	01 March 2025	23	Imo	Broadband MiFi	Male	1	Poor	6	60GB Monthly Broadband Plan	" ?14,500.00 "	18	" ?261,000.00 "	192.89	No	No Churn
CUST0010	Halima Ochoa	01 March 2025	23	Imo	Mobile SIM Card	Male	1	Poor	6	500MB Daily Plan	 ?350.00 	13	" ?4,550.00 "	142.73	No	No Churn
CUST0011	Ejiro Griffith	01 February 2025	72	Bauchi	4G Router	Female	2	Fair	8	65GB Monthly Plan	" ?16,000.00 "	2	" ?32,000.00 "	14.66	Yes	Poor Network
CUST0011	Ejiro Griffith	01 February 2025	72	Bauchi	5G Broadband Router	Female	2	Fair	8	60GB Monthly Broadband Plan	" ?14,500.00 "	2	" ?29,000.00 "	13.95	Yes	Poor Network
CUST0011	Ejiro Griffith	01 February 2025	72	Bauchi	Broadband MiFi	Female	2	Fair	8	300GB FUP Monthly Unlimited	" ?30,000.00 "	8	" ?240,000.00 "	14.64	Yes	Poor Network
CUST0012	Zainab Morton	01 March 2025	78	Ondo	4G Router	Male	2	Fair	47	65GB Monthly Plan	" ?16,000.00 "	12	" ?192,000.00 "	131.97	No	No Churn
CUST0012	Zainab Morton	01 March 2025	78	Ondo	Broadband MiFi	Male	2	Fair	47	60GB Monthly Broadband Plan	" ?14,500.00 "	2	" ?29,000.00 "	82.51	No	No Churn
CUST0013	Ngozi Moreno	01 January 2025	23	Kebbi	4G Router	Female	2	Fair	52	10GB+10mins Monthly Plan	" ?4,500.00 "	8	" ?36,000.00 "	56.07	Yes	Relocation
CUST0013	Ngozi Moreno	01 January 2025	23	Kebbi	Mobile SIM Card	Female	2	Fair	52	3.2GB 2-Day Plan	" ?1,000.00 "	18	" ?18,000.00 "	88.90	Yes	Relocation
CUST0014	Ngozi Crawford	01 February 2025	22	Adamawa	4G Router	Male	2	Fair	6	65GB Monthly Plan	" ?16,000.00 "	1	" ?16,000.00 "	33.35	No	No Churn
CUST0014	Ngozi Crawford	01 February 2025	22	Adamawa	Mobile SIM Card	Male	2	Fair	6	20GB Monthly Plan	" ?7,500.00 "	15	" ?112,500.00 "	53.41	No	No Churn
CUST0015	Abubakar Garner	01 March 2025	70	Yobe	Broadband MiFi	Male	2	Fair	13	30GB Monthly Broadband Plan	" ?9,000.00 "	16	" ?144,000.00 "	10.50	No	No Churn
CUST0015	Abubakar Garner	01 March 2025	70	Yobe	5G Broadband Router	Male	2	Fair	13	300GB FUP Monthly Unlimited	" ?30,000.00 "	17	" ?510,000.00 "	11.85	No	No Churn
CUST0015	Abubakar Garner	01 March 2025	70	Yobe	4G Router	Male	2	Fair	13	65GB Monthly Plan	" ?16,000.00 "	3	" ?48,000.00 "	170.34	No	No Churn
CUST0016	Kunle Ford	01 February 2025	46	Kebbi	Broadband MiFi	Male	5	Excellent	57	300GB FUP Monthly Unlimited	" ?30,000.00 "	11	" ?330,000.00 "	41.25	No	No Churn
CUST0016	Kunle Ford	01 February 2025	46	Kebbi	4G Router	Male	5	Excellent	57	10GB+10mins Monthly Plan	" ?4,500.00 "	5	" ?22,500.00 "	53.49	No	No Churn
CUST0016	Kunle Ford	01 February 2025	46	Kebbi	5G Broadband Router	Male	5	Excellent	57	120GB Monthly Broadband Plan	" ?24,000.00 "	3	" ?72,000.00 "	91.72	No	No Churn
CUST0017	Tunde Hayes	01 February 2025	74	Anambra	4G Router	Male	5	Excellent	35	25GB Monthly Plan	" ?9,000.00 "	15	" ?135,000.00 "	57.35	Yes	Costly Data Plans
CUST0018	David Fletcher	01 March 2025	54	Bauchi	5G Broadband Router	Male	1	Poor	43	150GB FUP Monthly Unlimited	" ?20,000.00 "	18	" ?360,000.00 "	178.00	No	No Churn
CUST0019	Obinna Wright	01 March 2025	50	Cross River	Mobile SIM Card	Male	2	Fair	46	2.5GB 2-Day Plan	 ?900.00 	14	" ?12,600.00 "	18.91	No	No Churn
CUST0019	Obinna Wright	01 March 2025	50	Cross River	4G Router	Male	2	Fair	46	25GB Monthly Plan	" ?9,000.00 "	11	" ?99,000.00 "	9.30	No	No Churn
CUST0020	Amaka Reed	01 March 2025	49	Abuja (FCT)	4G Router	Female	5	Excellent	36	25GB Monthly Plan	" ?9,000.00 "	5	" ?45,000.00 "	116.71	Yes	Poor Network
CUST0020	Amaka Reed	01 March 2025	49	Abuja (FCT)	5G Broadband Router	Female	5	Excellent	36	450GB 3-Month Broadband Plan	" ?75,000.00 "	10	" ?750,000.00 "	25.93	Yes	Poor Network
CUST0020	Amaka Reed	01 March 2025	49	Abuja (FCT)	Broadband MiFi	Female	5	Excellent	36	300GB FUP Monthly Unlimited	" ?30,000.00 "	2	" ?60,000.00 "	179.85	Yes	Poor Network
